SZ_DETAIL water balance	  - accumulated	 : 	 1989  1  2  6  0	 2022  7 11  6  0 		Data type:	Storage depth		[millimeter]                                                                                
 SM CI OL RIV SZ                                                                		Sub-catchment no.:	 20
Flow Result File : DK1_HIP_500m
Title : DK1_HIP_500m     Text :  
                     	qszprecip	qrech	qrechmp	qolszpos	qolszneg	qetsz	qszin	qszout	dszsto	qszabsex	qszdrin	qszdrout	qszdrtorivin	qszdrtorivex	qszdrtoM11HPoint	qszrivneg	qszrivpos	qszfloodneg	qszfloodpos	qgihbpos	qgihbneg	qirrwell	qszdrtoMouse	qszMousepos	qszMouseneg	qSzExtSink	qSzExtSource	cross time step	Error
 1989  6 12  6  0	   0.000000    	  -46.08737    	  -18.60299    	  0.9161489E-01	 -0.9782894E-02	   9.084427    	  -4.448277    	   5.086764    	  -8.511709    	   22.67147    	   0.000000    	   0.000000    	   20.48392    	   0.000000    	   0.000000    	 -0.6520587E-01	   20.30853    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1395236E-02
 1989  6 19  6  0	   0.000000    	  -46.04691    	  -18.63246    	  0.9161489E-01	 -0.9782894E-02	   12.27840    	  -4.632779    	   5.304893    	  -13.30394    	   23.65004    	   0.000000    	   0.000000    	   20.51575    	   0.000000    	   0.000000    	 -0.6784768E-01	   20.85441    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1399590E-02
 1989  6 26  6  0	   0.000000    	  -47.26941    	  -18.63298    	  0.9161489E-01	 -0.9782894E-02	   16.03507    	  -4.815746    	   5.522176    	  -17.36440    	   24.63223    	   0.000000    	   0.000000    	   20.53850    	   0.000000    	   0.000000    	 -0.7044187E-01	   21.34455    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1389686E-02
 1989  7  3  6  0	   0.000000    	  -47.00435    	  -19.39466    	  0.9161489E-01	 -0.9782894E-02	   17.09627    	  -4.997718    	   5.738754    	  -19.41531    	   25.61080    	   0.000000    	   0.000000    	   20.55548    	   0.000000    	   0.000000    	 -0.7296854E-01	   21.80328    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1399334E-02
 1989  7 10  6  0	   0.000000    	  -47.11610    	  -19.47307    	  0.9161489E-01	 -0.9782894E-02	   18.05802    	  -5.178977    	   5.955062    	  -21.65355    	   26.59416    	   0.000000    	   0.000000    	   20.56985    	   0.000000    	   0.000000    	 -0.7545728E-01	   22.23962    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1395833E-02
 1989  7 17  6  0	   0.000000    	  -46.89026    	  -20.13018    	  0.9161489E-01	 -0.9782894E-02	   18.35357    	  -5.359564    	   6.170937    	  -22.95157    	   27.57156    	   0.000000    	   0.000000    	   20.58302    	   0.000000    	   0.000000    	 -0.7786803E-01	   22.64992    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1404798E-02
 1989  7 24  6  0	   0.000000    	  -46.64603    	  -20.70249    	  0.9161489E-01	 -0.9782894E-02	   18.81555    	  -5.539698    	   6.386651    	  -24.52132    	   28.55492    	   0.000000    	   0.000000    	   20.59973    	   0.000000    	   0.000000    	 -0.8028747E-01	   23.05254    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1409324E-02
 1989  7 31  6  0	   0.000000    	  -46.50923    	  -21.61583    	  0.9161489E-01	 -0.9782894E-02	   19.11289    	  -5.719227    	   6.602128    	  -25.45649    	   29.53828    	   0.000000    	   0.000000    	   20.61747    	   0.000000    	   0.000000    	 -0.8262365E-01	   23.43217    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1392076E-02
 1989  8  7  6  0	   0.000000    	  -45.06661    	  -23.84505    	  0.9161489E-01	 -0.9782894E-02	   19.19652    	  -5.898210    	   6.817731    	  -26.18630    	   30.51568    	   0.000000    	   0.000000    	   20.64422    	   0.000000    	   0.000000    	 -0.8527437E-01	   23.82685    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1397199E-02
 1989  8 14  6  0	   0.000000    	  -43.51245    	  -27.30830    	  0.9161489E-01	 -0.9782894E-02	   19.27238    	  -6.076827    	   7.033883    	  -25.83600    	   31.49904    	   0.000000    	   0.000000    	   20.68736    	   0.000000    	   0.000000    	 -0.8795089E-01	   24.24841    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	   0.000000    	  0.1400359E-02
