bebyggelse,indbygge_1,indbygge_2,indbygge_3,indbygge_4,indbygge_5,start,end,WSAID
18974,12337669-d4c3-6b98-e053-d480220a5a3f,Møllevangen,01-01-2024,"74","30","1978","2019","2085"
14991,12337669-d1e0-6b98-e053-d480220a5a3f,Kirkehavn,01-01-2024,"57","38","1978","2019","2061"
17002,12337669-d2c2-6b98-e053-d480220a5a3f,Lille Bregninge,01-01-2024,"16","10","1978","2019","2107"
11572,12337669-d336-6b98-e053-d480220a5a3f,Kirke Flinterup,01-01-2024,"62","23","1978","2019","3390"
15239,12337669-dc48-6b98-e053-d480220a5a3f,Borsholm,01-01-2024,"63","28","1995","2019","1062"
18924,12337669-e3e4-6b98-e053-d480220a5a3f,Venteskov,01-01-2024,"0","0","2009","2019","2119"
16255,12337669-d361-6b98-e053-d480220a5a3f,Tvillinggård,01-01-2024,"10","2","1978","2019","2833"
15326,12337669-d142-6b98-e053-d480220a5a3f,Stærsholm Huse,01-01-2024,"0","0","1978","2019","2878"
18447,12337669-e141-6b98-e053-d480220a5a3f,Edelgave Huse,01-01-2024,"21","9","1978","2019","2859"
16871,12337669-d410-6b98-e053-d480220a5a3f,Uglerup,01-01-2024,"16","7","1978","2019","2117"
18913,12337669-e3d4-6b98-e053-d480220a5a3f,Kragebro,01-01-2024,"7","3","2011","2019","3387"
10942,12337669-da53-6b98-e053-d480220a5a3f,Havdrup,01-01-2024,"4424","1870","2009","2019","1044"
16398,12337669-db8a-6b98-e053-d480220a5a3f,Risgårde,01-01-2024,"10","4","1978","2019","2681"
16025,12337669-d8b5-6b98-e053-d480220a5a3f,Eskilstrup,01-01-2024,"22","9","2006","2019","2939"
12803,12337669-de5d-6b98-e053-d480220a5a3f,Sundbylille,01-01-2024,"125","43","1978","2019","3151"
14595,12337669-dcfe-6b98-e053-d480220a5a3f,Veksebo,01-01-2024,"162","59","1978","2019","2231"
16638,12337669-d30a-6b98-e053-d480220a5a3f,Kulhuse,01-01-2024,"12","6","1978","2019","2156"
10083,12337669-d4ec-6b98-e053-d480220a5a3f,Stårup,01-01-2024,"183","87","1978","2019","2136"
13663,12337669-da45-6b98-e053-d480220a5a3f,Kumlehuse,01-01-2024,"11","5","1978","2019","2260"
16772,12337669-d3c7-6b98-e053-d480220a5a3f,Skaftelev,01-01-2024,"10","3","1978","2019","2043"
13662,12337669-da43-6b98-e053-d480220a5a3f,Højby Huse,01-01-2024,"26","10","1978","2019","2260"
11846,12337669-d117-6b98-e053-d480220a5a3f,Skelby Huse,01-01-2024,"16","8","1984","2019","2896"
14899,12337669-de92-6b98-e053-d480220a5a3f,Bakkebjerg,01-01-2024,"11","5","1978","2019","3171"
18393,12337669-d9a3-6b98-e053-d480220a5a3f,Vallensbæk Nordmark,01-01-2024,"5924","2375","1978","2019","3561"
13535,12337669-dd72-6b98-e053-d480220a5a3f,Lindholm,01-01-2024,"30","12","2008","2019","3154"
12491,12337669-d795-6b98-e053-d480220a5a3f,Lillemark,01-01-2024,"7","4","1987","2019","1953"
16526,12337669-dad1-6b98-e053-d480220a5a3f,Læhuse,01-01-2024,"11","4","1978","2019","1052"
16413,12337669-d9e6-6b98-e053-d480220a5a3f,Stenlille,01-01-2024,"30","6","1995","2019","2860"
16456,12337669-de2f-6b98-e053-d480220a5a3f,Grimstrup,01-01-2024,"24","6","1997","2019","3167"
16047,12337669-dc1f-6b98-e053-d480220a5a3f,Stolpegårdshuse,01-01-2024,"7","4","1978","2019","3132"
10006,12337669-dd04-6b98-e053-d480220a5a3f,Humlebæk,01-01-2024,"9861","4564","1978","2019","2230"
18390,12337669-d99f-6b98-e053-d480220a5a3f,Ishøj Landsby,01-01-2024,"1291","495","1978","2019","3569"
16520,12337669-dca5-6b98-e053-d480220a5a3f,Hessemose,01-01-2024,"23","10","1989","2019","3175"
16320,12337669-db4d-6b98-e053-d480220a5a3f,Snekkerup,01-01-2024,"32","11","1978","2019","1050"
