WSAID	PLANTID	start	end
3562	25132	1978	2019
3563	25132	1978	2019
3564	4230	1978	2019
3564	2065	1978	2019
3565	4230	1978	2019
3565	2065	1978	2019
3565	28315	1978	2019
3565	20059	1978	2019
3565	3957	1978	2019
3566	28315	1978	2019
3566	20059	1978	2019
3566	3957	1978	2019
3567	28315	1978	2019
3567	20059	1978	2019
3567	26790	1978	2019
4621	70265	2015	2019
4635	70295	1978	2019
4635	69781	1978	2019
4636	70246	2005	2019
4637	70251	1978	2019
4637	126565	1978	2019
4651	69781	1978	1999
4651	70295	1978	1999
4638	69781	2000	2019
4638	70295	2000	2019
4643	70246	1978	1991
4639	70246	1992	2019
4646	70252	1978	2007
4646	70247	1978	2007
4646	126572	1978	2007
4640	70252	2008	2019
4640	70247	2008	2019
4640	126572	2008	2019
4641	70246	1996	2019
4656	70251	1978	1990
4656	126565	1978	1990
4642	70251	1991	2019
4642	126565	1991	2019
3362	106551	1978	2019
3362	3957	1978	2019
4687	106551	1978	2019
4687	3957	1978	2019
4687	106758	1978	2019
4688	106551	1978	2019
4688	3957	1978	2019
4688	26790	1978	2019
4689	106551	1978	2019
4689	3957	1978	2019
4689	28315	1978	2019
4689	20059	1978	2019
4684	26790	1978	2019
4685	106361	1978	2019
4685	25132	1978	2019
3365	25132	1978	2019
4686	26790	1978	2019
4686	106377	1978	2019
3559	106334	1978	2019
3559	4230	1978	2019
3559	2065	1978	2019
4681	106334	1978	2019
4681	28315	1978	2019
4681	20059	1978	2019
4693	61755	1978	2019
1061	185695	2017	2019
4116	185695	2008	2016
4118	185695	1995	2007
4120	185695	1978	1994
