start,end,WSAID,objectid,nationalco,nationalle,inspireid,national_1,beginlifes,endlifespa,country,name_gn_la,name_gn_na,name_gn__1,name_gn_so,name_gn_pr,name_gn_sp,name_gn__2,residenceo,upperlevel,boundary,Vandforsyn,Area (m3),Job_distribution_Industries,Job_distribution_Services,Job_distribution_Agriculture,WSA_Area (m3)
"1978","2019","1089",,,,,,,,,,,,,,,,,,,,,,,,"19999392"
"1978","2019","1090",,,,,,,,,,,,,,,,,,,,,,,,"36712708"
"1978","2019","1091",,,,,,,,,,,,,,,,,,,,,,,,"54705231"
"1978","2019","1092",,,,,,,,,,,,,,,,,,,,,,,,"5689220"
"1978","2019","1093",,,,,,,,,,,,,,,,,,,,,,,,"49091800"
"1978","2019","1094",,,,,,,,,,,,,,,,,,,,,,,,"18059413"
"1988","2019","1095",,,,,,,,,,,,,,,,,,,,,,,,"29498706"
"1978","2019","1096",,,,,,,,,,,,,,,,,,,,,,,,"25206546"
"1978","2019","1097",,,,,,,,,,,,,,,,,,,,,,,,"11016734"
"1978","2019","1098",,,,,,,,,,,,,,,,,,,,,,,,"41615360"
"1978","2019","1099",,,,,,,,,,,,,,,,,,,,,,,,"24027747"
"1978","2019","1100",,,,,,,,,,,,,,,,,,,,,,,,"20722410"
"1978","2019","1101",,,,,,,,,,,,,,,,,,,,,,,,"42968872"
"1978","2019","1102",,,,,,,,,,,,,,,,,,,,,,,,"13884712"
"1978","2019","1103",,,,,,,,,,,,,,,,,,,,,,,,"34466853"
"1978","2019","1104",,,,,,,,,,,,,,,,,,,,,,,,"7459078"
"1978","2019","1105",,,,,,,,,,,,,,,,,,,,,,,,"25755077"
"1978","2019","1106",,,,,,,,,,,,,,,,,,,,,,,,"86794986"
"1978","2019","1107",,,,,,,,,,,,,,,,,,,,,,,,"13223507"
"1978","2019","1108",,,,,,,,,,,,,,,,,,,,,,,,"5923252"
"2002","2019","1109",,,,,,,,,,,,,,,,,,,,,,,,"6410407"
"1978","2019","1110",,,,,,,,,,,,,,,,,,,,,,,,"1278047"
"1999","2019","1111",,,,,,,,,,,,,,,,,,,,,,,,"126401370"
"1978","2019","1112",,,,,,,,,,,,,,,,,,,,,,,,"54118347"
"1978","2019","1113",,,,,,,,,,,,,,,,,,,,,,,,"46913747"
"1978","2019","1114",,,,,,,,,,,,,,,,,,,,,,,,"22025396"
"1978","2019","1115",,,,,,,,,,,,,,,,,,,,,,,,"15100077"
"1978","2019","1116",,,,,,,,,,,,,,,,,,,,,,,,"4640210"
"1978","2019","1117",,,,,,,,,,,,,,,,,,,,,,,,"43965977"
"1978","2019","1118",,,,,,,,,,,,,,,,,,,,,,,,"14041425"
"2004","2019","1119",,,,,,,,,,,,,,,,,,,,,,,,"15440066"
"1978","2019","1120",,,,,,,,,,,,,,,,,,,,,,,,"7524595"
"1978","2019","1121",,,,,,,,,,,,,,,,,,,,,,,,"5468465"
"1978","2019","1122",,,,,,,,,,,,,,,,,,,,,,,,"8782642"
"1978","2019","1123",,,,,,,,,,,,,,,,,,,,,,,,"6946659"
"1978","2019","1124",,,,,,,,,,,,,,,,,,,,,,,,"13880223"
"1978","2019","1125",,,,,,,,,,,,,,,,,,,,,,,,"12007293"
"1978","2019","1126",,,,,,,,,,,,,,,,,,,,,,,,"25053124"
"1978","2019","1127",,,,,,,,,,,,,,,,,,,,,,,,"15866646"
"1978","2019","1128",,,,,,,,,,,,,,,,,,,,,,,,"10797534"
"1978","2019","1129",,,,,,,,,,,,,,,,,,,,,,,,"3893495"
"1978","2019","1130",,,,,,,,,,,,,,,,,,,,,,,,"2341787"
"1978","2019","1131",,,,,,,,,,,,,,,,,,,,,,,,"11972684"
"2005","2019","1132",,,,,,,,,,,,,,,,,,,,,,,,"38899875"
"1978","2019","1133",,,,,,,,,,,,,,,,,,,,,,,,"5793334"
"1978","2019","1134",,,,,,,,,,,,,,,,,,,,,,,,"5617836"
"1978","2019","1135",,,,,,,,,,,,,,,,,,,,,,,,"29041805"
"2010","2019","1136",,,,,,,,,,,,,,,,,,,,,,,,"23564888"
"1978","2019","1137",,,,,,,,,,,,,,,,,,,,,,,,"2835955"
"1978","2019","1138",,,,,,,,,,,,,,,,,,,,,,,,"834005"
"1978","2019","1139",,,,,,,,,,,,,,,,,,,,,,,,"7082119"
"1978","2019","1140",,,,,,,,,,,,,,,,,,,,,,,,"9561097"
"1978","2019","1141",,,,,,,,,,,,,,,,,,,,,,,,"6158060"
"1978","2019","1142",,,,,,,,,,,,,,,,,,,,,,,,"2964398"
"1978","2019","1143",,,,,,,,,,,,,,,,,,,,,,,,"17322964"
"1978","2019","1144",,,,,,,,,,,,,,,,,,,,,,,,"10180548"
"1978","2019","1145",,,,,,,,,,,,,,,,,,,,,,,,"30839213"
"1978","2019","1146",,,,,,,,,,,,,,,,,,,,,,,,"1296556"
"1978","2019","1147",,,,,,,,,,,,,,,,,,,,,,,,"22475825"
"1978","2019","1148",,,,,,,,,,,,,,,,,,,,,,,,"30484568"
"1978","2019","1149",,,,,,,,,,,,,,,,,,,,,,,,"12981759"
"1978","2019","1150",,,,,,,,,,,,,,,,,,,,,,,,"3002497"
"1978","1997","1151",,,,,,,,,,,,,,,,,,,,,,,,"16752026"
"1978","2019","1152",,,,,,,,,,,,,,,,,,,,,,,,"9605001"
"1978","2019","1153",,,,,,,,,,,,,,,,,,,,,,,,"3964170"
"1978","2019","1154",,,,,,,,,,,,,,,,,,,,,,,,"17444386"
"1978","2019","1155",,,,,,,,,,,,,,,,,,,,,,,,"14951331"
"1978","2019","1156",,,,,,,,,,,,,,,,,,,,,,,,"7017802"
"1978","2019","1157",,,,,,,,,,,,,,,,,,,,,,,,"16399470"
"2007","2019","1158",,,,,,,,,,,,,,,,,,,,,,,,"25094572"
"1978","2019","1159",,,,,,,,,,,,,,,,,,,,,,,,"11456691"
"1978","2019","1160",,,,,,,,,,,,,,,,,,,,,,,,"9246986"
"1978","2019","1161",,,,,,,,,,,,,,,,,,,,,,,,"8846846"
"1978","2019","1162",,,,,,,,,,,,,,,,,,,,,,,,"3121189"
"1991","2019","1163",,,,,,,,,,,,,,,,,,,,,,,,"30193031"
"1978","2019","1164",,,,,,,,,,,,,,,,,,,,,,,,"15367052"
"1978","2019","1165",,,,,,,,,,,,,,,,,,,,,,,,"9610204"
"2002","2019","1166",,,,,,,,,,,,,,,,,,,,,,,,"14327215"
"1978","2019","1167",,,,,,,,,,,,,,,,,,,,,,,,"704418"
"1978","2019","1168",,,,,,,,,,,,,,,,,,,,,,,,"16336391"
"1978","2019","1169",,,,,,,,,,,,,,,,,,,,,,,,"9032114"
"1978","2019","1170",,,,,,,,,,,,,,,,,,,,,,,,"54893224"
"1978","2019","1171",,,,,,,,,,,,,,,,,,,,,,,,"15497221"
"1978","2019","1172",,,,,,,,,,,,,,,,,,,,,,,,"3864790"
"1978","2019","1173",,,,,,,,,,,,,,,,,,,,,,,,"18192716"
"1978","2019","1174",,,,,,,,,,,,,,,,,,,,,,,,"6199221"
"1978","2019","1175",,,,,,,,,,,,,,,,,,,,,,,,"6566628"
"1978","2019","1176",,,,,,,,,,,,,,,,,,,,,,,,"7553803"
"1978","2019","1177",,,,,,,,,,,,,,,,,,,,,,,,"7078815"
"1978","2019","1178",,,,,,,,,,,,,,,,,,,,,,,,"13121990"
"1978","2019","1179",,,,,,,,,,,,,,,,,,,,,,,,"4301517"
"1978","2019","1180",,,,,,,,,,,,,,,,,,,,,,,,"10968643"
"1978","2019","1181",,,,,,,,,,,,,,,,,,,,,,,,"20116565"
"1978","2019","1182",,,,,,,,,,,,,,,,,,,,,,,,"7319650"
"1978","2019","1183",,,,,,,,,,,,,,,,,,,,,,,,"1868862"
"1978","2019","1184",,,,,,,,,,,,,,,,,,,,,,,,"7501899"
"2012","2019","1185",,,,,,,,,,,,,,,,,,,,,,,,"47852998"
"1978","2019","1186",,,,,,,,,,,,,,,,,,,,,,,,"22232509"
"1978","2019","1187",,,,,,,,,,,,,,,,,,,,,,,,"22904357"
"1978","2019","1188",,,,,,,,,,,,,,,,,,,,,,,,"1841819"
"1978","2019","1189",,,,,,,,,,,,,,,,,,,,,,,,"3197487"
"1978","2019","1190",,,,,,,,,,,,,,,,,,,,,,,,"3066760"
"2005","2019","1191",,,,,,,,,,,,,,,,,,,,,,,,"21818806"
"1978","2019","1192",,,,,,,,,,,,,,,,,,,,,,,,"11599008"
"1978","2019","1193",,,,,,,,,,,,,,,,,,,,,,,,"10103334"
"1978","2019","1194",,,,,,,,,,,,,,,,,,,,,,,,"16958420"
"1978","2019","1195",,,,,,,,,,,,,,,,,,,,,,,,"6277669"
"1978","2019","1196",,,,,,,,,,,,,,,,,,,,,,,,"5671738"
"1978","2019","1197",,,,,,,,,,,,,,,,,,,,,,,,"5661094"
"1978","2019","1198",,,,,,,,,,,,,,,,,,,,,,,,"26961631"
"1978","2019","1199",,,,,,,,,,,,,,,,,,,,,,,,"3213213"
"1978","2019","1200",,,,,,,,,,,,,,,,,,,,,,,,"18643149"
"1978","2019","1201",,,,,,,,,,,,,,,,,,,,,,,,"16521898"
"1978","2019","1202",,,,,,,,,,,,,,,,,,,,,,,,"10591593"
"1978","2019","1203",,,,,,,,,,,,,,,,,,,,,,,,"6335237"
"1978","2019","1204",,,,,,,,,,,,,,,,,,,,,,,,"10775266"
"1978","2019","1205",,,,,,,,,,,,,,,,,,,,,,,,"15980510"
"1978","2019","1206",,,,,,,,,,,,,,,,,,,,,,,,"10612964"
"1978","2019","1207",,,,,,,,,,,,,,,,,,,,,,,,"3634877"
"1978","2001","1208",,,,,,,,,,,,,,,,,,,,,,,,"174895494"
"1978","2019","1209",,,,,,,,,,,,,,,,,,,,,,,,"3777759"
"1978","2019","1210",,,,,,,,,,,,,,,,,,,,,,,,"13529015"
"1978","2019","1211",,,,,,,,,,,,,,,,,,,,,,,,"10063644"
"1978","2019","1212",,,,,,,,,,,,,,,,,,,,,,,,"8480746"
"1978","2019","1213",,,,,,,,,,,,,,,,,,,,,,,,"17897099"
"1978","2019","1214",,,,,,,,,,,,,,,,,,,,,,,,"19352690"
"1978","2001","1215",,,,,,,,,,,,,,,,,,,,,,,,"5900509"
"1978","2019","1216",,,,,,,,,,,,,,,,,,,,,,,,"21344895"
"1978","2019","1217",,,,,,,,,,,,,,,,,,,,,,,,"29211896"
"1978","2019","1218",,,,,,,,,,,,,,,,,,,,,,,,"7278426"
"1978","2019","1219",,,,,,,,,,,,,,,,,,,,,,,,"17660249"
"1978","2019","1220",,,,,,,,,,,,,,,,,,,,,,,,"25659138"
"1978","2019","1221",,,,,,,,,,,,,,,,,,,,,,,,"19314594"
"1978","2019","1222",,,,,,,,,,,,,,,,,,,,,,,,"33448780"
"1978","2019","1223",,,,,,,,,,,,,,,,,,,,,,,,"18338789"
"1978","2019","1224",,,,,,,,,,,,,,,,,,,,,,,,"26770151"
"2002","2019","1225",,,,,,,,,,,,,,,,,,,,,,,,"107368214"
"1978","2019","1226",,,,,,,,,,,,,,,,,,,,,,,,"5667650"
"1978","2019","1227",,,,,,,,,,,,,,,,,,,,,,,,"11255384"
"1978","2019","1228",,,,,,,,,,,,,,,,,,,,,,,,"7107166"
"1978","2019","1229",,,,,,,,,,,,,,,,,,,,,,,,"1479542"
"1978","2019","1230",,,,,,,,,,,,,,,,,,,,,,,,"6218879"
"1978","2019","1231",,,,,,,,,,,,,,,,,,,,,,,,"3857814"
"1978","2019","1232",,,,,,,,,,,,,,,,,,,,,,,,"5298274"
"1978","2019","1233",,,,,,,,,,,,,,,,,,,,,,,,"8272600"
"2000","2019","1234",,,,,,,,,,,,,,,,,,,,,,,,"57912347"
"1978","2019","1235",,,,,,,,,,,,,,,,,,,,,,,,"8050489"
"1978","2019","1236",,,,,,,,,,,,,,,,,,,,,,,,"1762156"
"1978","2019","1237",,,,,,,,,,,,,,,,,,,,,,,,"654303"
"1978","2019","1238",,,,,,,,,,,,,,,,,,,,,,,,"504707"
"1978","2019","1239",,,,,,,,,,,,,,,,,,,,,,,,"454367"
"1978","2019","1240",,,,,,,,,,,,,,,,,,,,,,,,"15853120"
"1978","2019","1241",,,,,,,,,,,,,,,,,,,,,,,,"163377"
"2000","2019","1242",,,,,,,,,,,,,,,,,,,,,,,,"28955937"
"1993","2000","1243",,,,,,,,,,,,,,,,,,,,,,,,"44948962"
"1978","2019","1244",,,,,,,,,,,,,,,,,,,,,,,,"28543461"
"1978","2019","1245",,,,,,,,,,,,,,,,,,,,,,,,"10724067"
"1983","2019","1246",,,,,,,,,,,,,,,,,,,,,,,,"45290834"
"1978","2019","1247",,,,,,,,,,,,,,,,,,,,,,,,"27652563"
"1978","2019","1248",,,,,,,,,,,,,,,,,,,,,,,,"26152788"
"1978","2019","1249",,,,,,,,,,,,,,,,,,,,,,,,"2972938"
"1978","2019","1250",,,,,,,,,,,,,,,,,,,,,,,,"15049789"
"1978","2019","1251",,,,,,,,,,,,,,,,,,,,,,,,"7521052"
"1978","2019","1252",,,,,,,,,,,,,,,,,,,,,,,,"24856599"
"1978","2019","1253",,,,,,,,,,,,,,,,,,,,,,,,"15115245"
"1978","2019","1254",,,,,,,,,,,,,,,,,,,,,,,,"8670326"
"1978","2019","1255",,,,,,,,,,,,,,,,,,,,,,,,"8366578"
"2003","2019","1256",,,,,,,,,,,,,,,,,,,,,,,,"6184987"
"1978","2019","1257",,,,,,,,,,,,,,,,,,,,,,,,"3650941"
"1978","2019","1258",,,,,,,,,,,,,,,,,,,,,,,,"1455274"
"1978","2019","1259",,,,,,,,,,,,,,,,,,,,,,,,"11523268"
"1978","2019","1260",,,,,,,,,,,,,,,,,,,,,,,,"13000893"
"1978","2019","1261",,,,,,,,,,,,,,,,,,,,,,,,"7585016"
"1978","2019","1262",,,,,,,,,,,,,,,,,,,,,,,,"11199870"
"1978","2019","1263",,,,,,,,,,,,,,,,,,,,,,,,"8577656"
"1978","2019","1264",,,,,,,,,,,,,,,,,,,,,,,,"45134143"
"1978","2019","1265",,,,,,,,,,,,,,,,,,,,,,,,"13259277"
"1978","2019","1266",,,,,,,,,,,,,,,,,,,,,,,,"6731551"
"1978","2019","1267",,,,,,,,,,,,,,,,,,,,,,,,"2226500"
"1978","2019","1268",,,,,,,,,,,,,,,,,,,,,,,,"8006788"
"1978","2019","1269",,,,,,,,,,,,,,,,,,,,,,,,"17625093"
"1978","2019","1270",,,,,,,,,,,,,,,,,,,,,,,,"31747632"
"1978","2019","1271",,,,,,,,,,,,,,,,,,,,,,,,"13186981"
"2008","2019","1272",,,,,,,,,,,,,,,,,,,,,,,,"80554374"
"1978","2019","1273",,,,,,,,,,,,,,,,,,,,,,,,"16463389"
"1978","2019","1274",,,,,,,,,,,,,,,,,,,,,,,,"52719324"
"1978","2019","1275",,,,,,,,,,,,,,,,,,,,,,,,"61231001"
"2003","2019","1276",,,,,,,,,,,,,,,,,,,,,,,,"308665559"
"1995","2019","1277",,,,,,,,,,,,,,,,,,,,,,,,"26155247"
"1999","2019","1278",,,,,,,,,,,,,,,,,,,,,,,,"19005471"
"1978","2019","1279",,,,,,,,,,,,,,,,,,,,,,,,"591347"
"1978","2019","1280",,,,,,,,,,,,,,,,,,,,,,,,"28332584"
"1978","2019","1281",,,,,,,,,,,,,,,,,,,,,,,,"20960104"
"1978","2019","1282",,,,,,,,,,,,,,,,,,,,,,,,"8458202"
"1997","2019","1283",,,,,,,,,,,,,,,,,,,,,,,,"37615506"
"1978","2019","1284",,,,,,,,,,,,,,,,,,,,,,,,"23787910"
"1978","2019","1285",,,,,,,,,,,,,,,,,,,,,,,,"29040386"
"1995","2019","1286",,,,,,,,,,,,,,,,,,,,,,,,"17745865"
"1987","2019","1287",,,,,,,,,,,,,,,,,,,,,,,,"11775139"
"1978","2019","1288",,,,,,,,,,,,,,,,,,,,,,,,"18699452"
"1978","2019","1289",,,,,,,,,,,,,,,,,,,,,,,,"1449256"
"1978","2019","1290",,,,,,,,,,,,,,,,,,,,,,,,"12915753"
"1978","2019","1291",,,,,,,,,,,,,,,,,,,,,,,,"4241365"
"1978","2019","1292",,,,,,,,,,,,,,,,,,,,,,,,"7373389"
"1978","2019","1293",,,,,,,,,,,,,,,,,,,,,,,,"8082670"
"1978","2019","1294",,,,,,,,,,,,,,,,,,,,,,,,"6127568"
"1978","2019","1295",,,,,,,,,,,,,,,,,,,,,,,,"7765184"
"1978","2019","1296",,,,,,,,,,,,,,,,,,,,,,,,"2314210"
"1978","2019","1297",,,,,,,,,,,,,,,,,,,,,,,,"3281756"
"1989","2019","1298",,,,,,,,,,,,,,,,,,,,,,,,"28282586"
"1978","2019","1299",,,,,,,,,,,,,,,,,,,,,,,,"5221490"
